country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,percent_variant
Austria,AT,2020-40,GISAID,5152,4,0.1,Yes,B.1.1.7,0,0.0
Austria,AT,2020-40,GISAID,5152,4,0.1,Yes,B.1.351,0,0.0
Austria,AT,2020-40,GISAID,5152,4,0.1,Yes,P.1,0,0.0
Austria,AT,2020-40,GISAID,5152,4,0.1,Yes,Other,4,100.0
Austria,AT,2020-41,GISAID,7365,24,0.3,Yes,B.1.1.7,0,0.0
Austria,AT,2020-41,GISAID,7365,24,0.3,Yes,B.1.351,0,0.0
Austria,AT,2020-41,GISAID,7365,24,0.3,Yes,P.1,0,0.0
Austria,AT,2020-41,GISAID,7365,24,0.3,Yes,Other,24,100.0
Austria,AT,2020-42,GISAID,9574,41,0.4,Yes,B.1.1.7,0,0.0
Austria,AT,2020-42,GISAID,9574,41,0.4,Yes,B.1.351,0,0.0
Austria,AT,2020-42,GISAID,9574,41,0.4,Yes,P.1,0,0.0
Austria,AT,2020-42,GISAID,9574,41,0.4,Yes,Other,41,100.0
Austria,AT,2020-43,GISAID,16979,38,0.2,Yes,B.1.1.7,0,0.0
Austria,AT,2020-43,GISAID,16979,38,0.2,Yes,B.1.351,0,0.0
Austria,AT,2020-43,GISAID,16979,38,0.2,Yes,P.1,0,0.0
Austria,AT,2020-43,GISAID,16979,38,0.2,Yes,Other,38,100.0
Austria,AT,2020-44,GISAID,28574,51,0.2,Yes,B.1.1.7,0,0.0
Austria,AT,2020-44,GISAID,28574,51,0.2,Yes,B.1.351,0,0.0
Austria,AT,2020-44,GISAID,28574,51,0.2,Yes,P.1,0,0.0
Austria,AT,2020-44,GISAID,28574,51,0.2,Yes,Other,51,100.0
Austria,AT,2020-45,GISAID,41398,109,0.3,Yes,B.1.1.7,0,0.0
Austria,AT,2020-45,GISAID,41398,109,0.3,Yes,B.1.351,0,0.0
Austria,AT,2020-45,GISAID,41398,109,0.3,Yes,P.1,0,0.0
Austria,AT,2020-45,GISAID,41398,109,0.3,Yes,Other,109,100.0
Austria,AT,2020-46,GISAID,50986,116,0.2,Yes,B.1.1.7,0,0.0
Austria,AT,2020-46,GISAID,50986,116,0.2,Yes,B.1.351,0,0.0
Austria,AT,2020-46,GISAID,50986,116,0.2,Yes,P.1,0,0.0
Austria,AT,2020-46,GISAID,50986,116,0.2,Yes,Other,116,100.0
Austria,AT,2020-47,GISAID,42630,13,0.0,Yes,B.1.1.7,0,0.0
Austria,AT,2020-47,GISAID,42630,13,0.0,Yes,B.1.351,0,0.0
Austria,AT,2020-47,GISAID,42630,13,0.0,Yes,P.1,0,0.0
Austria,AT,2020-47,GISAID,42630,13,0.0,Yes,Other,13,100.0
Austria,AT,2020-48,GISAID,32058,68,0.2,Yes,B.1.1.7,0,0.0
Austria,AT,2020-48,GISAID,32058,68,0.2,Yes,B.1.351,0,0.0
Austria,AT,2020-48,GISAID,32058,68,0.2,Yes,P.1,0,0.0
Austria,AT,2020-48,GISAID,32058,68,0.2,Yes,Other,68,100.0
Austria,AT,2020-49,GISAID,22794,34,0.1,Yes,B.1.1.7,0,0.0
Austria,AT,2020-49,GISAID,22794,34,0.1,Yes,B.1.351,0,0.0
Austria,AT,2020-49,GISAID,22794,34,0.1,Yes,P.1,0,0.0
Austria,AT,2020-49,GISAID,22794,34,0.1,Yes,Other,34,100.0
Austria,AT,2020-50,GISAID,19060,7,0.0,Yes,B.1.1.7,0,0.0
Austria,AT,2020-50,GISAID,19060,7,0.0,Yes,B.1.351,0,0.0
Austria,AT,2020-50,GISAID,19060,7,0.0,Yes,P.1,0,0.0
Austria,AT,2020-50,GISAID,19060,7,0.0,Yes,Other,7,100.0
Austria,AT,2020-51,GISAID,16186,33,0.2,Yes,B.1.1.7,0,0.0
Austria,AT,2020-51,GISAID,16186,33,0.2,Yes,B.1.351,0,0.0
Austria,AT,2020-51,GISAID,16186,33,0.2,Yes,P.1,0,0.0
Austria,AT,2020-51,GISAID,16186,33,0.2,Yes,Other,33,100.0
Austria,AT,2020-52,GISAID,15164,49,0.3,Yes,B.1.1.7,1,2.0
Austria,AT,2020-52,GISAID,15164,49,0.3,Yes,B.1.351,1,2.0
Austria,AT,2020-52,GISAID,15164,49,0.3,Yes,P.1,0,0.0
Austria,AT,2020-52,GISAID,15164,49,0.3,Yes,Other,47,95.9
Austria,AT,2020-53,GISAID,13188,256,1.9,Yes,B.1.1.7,14,5.5
Austria,AT,2020-53,GISAID,13188,256,1.9,Yes,B.1.351,0,0.0
Austria,AT,2020-53,GISAID,13188,256,1.9,Yes,P.1,0,0.0
Austria,AT,2020-53,GISAID,13188,256,1.9,Yes,Other,242,94.5
Austria,AT,2021-01,GISAID,15133,133,0.9,Yes,B.1.1.7,48,36.1
Austria,AT,2021-01,GISAID,15133,133,0.9,Yes,B.1.351,0,0.0
Austria,AT,2021-01,GISAID,15133,133,0.9,Yes,P.1,0,0.0
Austria,AT,2021-01,GISAID,15133,133,0.9,Yes,Other,85,63.9
Austria,AT,2021-02,GISAID,11406,164,1.4,Yes,B.1.1.7,85,51.8
Austria,AT,2021-02,GISAID,11406,164,1.4,Yes,B.1.351,46,28.0
Austria,AT,2021-02,GISAID,11406,164,1.4,Yes,P.1,0,0.0
Austria,AT,2021-02,GISAID,11406,164,1.4,Yes,Other,33,20.1
Austria,AT,2021-03,GISAID,10421,83,0.8,Yes,B.1.1.7,14,16.9
Austria,AT,2021-03,GISAID,10421,83,0.8,Yes,B.1.351,37,44.6
Austria,AT,2021-03,GISAID,10421,83,0.8,Yes,P.1,0,0.0
Austria,AT,2021-03,GISAID,10421,83,0.8,Yes,Other,32,38.6
Austria,AT,2021-04,GISAID,9451,243,2.6,Yes,B.1.1.7,52,21.4
Austria,AT,2021-04,GISAID,9451,243,2.6,Yes,B.1.351,70,28.8
Austria,AT,2021-04,GISAID,9451,243,2.6,Yes,P.1,0,0.0
Austria,AT,2021-04,GISAID,9451,243,2.6,Yes,Other,121,49.8
Austria,AT,2021-05,GISAID,10467,123,1.2,Yes,B.1.1.7,29,23.6
Austria,AT,2021-05,GISAID,10467,123,1.2,Yes,B.1.351,4,3.3
Austria,AT,2021-05,GISAID,10467,123,1.2,Yes,P.1,0,0.0
Austria,AT,2021-05,GISAID,10467,123,1.2,Yes,Other,90,73.2
Austria,AT,2021-06,GISAID,8442,259,3.1,Yes,B.1.1.7,157,60.6
Austria,AT,2021-06,GISAID,8442,259,3.1,Yes,B.1.351,9,3.5
Austria,AT,2021-06,GISAID,8442,259,3.1,Yes,P.1,0,0.0
Austria,AT,2021-06,GISAID,8442,259,3.1,Yes,Other,93,35.9
Austria,AT,2021-07,GISAID,11848,126,1.1,Yes,B.1.1.7,71,56.3
Austria,AT,2021-07,GISAID,11848,126,1.1,Yes,B.1.351,3,2.4
Austria,AT,2021-07,GISAID,11848,126,1.1,Yes,P.1,0,0.0
Austria,AT,2021-07,GISAID,11848,126,1.1,Yes,Other,52,41.3
Austria,AT,2021-08,GISAID,14370,138,1.0,Yes,B.1.1.7,69,50.0
Austria,AT,2021-08,GISAID,14370,138,1.0,Yes,B.1.351,21,15.2
Austria,AT,2021-08,GISAID,14370,138,1.0,Yes,P.1,0,0.0
Austria,AT,2021-08,GISAID,14370,138,1.0,Yes,Other,48,34.8
Austria,AT,2021-09,GISAID,15708,183,1.2,Yes,B.1.1.7,107,58.5
Austria,AT,2021-09,GISAID,15708,183,1.2,Yes,B.1.351,29,15.8
Austria,AT,2021-09,GISAID,15708,183,1.2,Yes,P.1,0,0.0
Austria,AT,2021-09,GISAID,15708,183,1.2,Yes,Other,47,25.7
Austria,AT,2021-10,GISAID,18851,310,1.6,Yes,B.1.1.7,252,81.3
Austria,AT,2021-10,GISAID,18851,310,1.6,Yes,B.1.351,14,4.5
Austria,AT,2021-10,GISAID,18851,310,1.6,Yes,P.1,0,0.0
Austria,AT,2021-10,GISAID,18851,310,1.6,Yes,Other,44,14.2
Austria,AT,2021-11,GISAID,20991,225,1.1,Yes,B.1.1.7,210,93.3
Austria,AT,2021-11,GISAID,20991,225,1.1,Yes,B.1.351,1,0.4
Austria,AT,2021-11,GISAID,20991,225,1.1,Yes,P.1,0,0.0
Austria,AT,2021-11,GISAID,20991,225,1.1,Yes,Other,14,6.2
Austria,AT,2021-12,GISAID,21849,82,0.4,Yes,B.1.1.7,78,95.1
Austria,AT,2021-12,GISAID,21849,82,0.4,Yes,B.1.351,1,1.2
Austria,AT,2021-12,GISAID,21849,82,0.4,Yes,P.1,0,0.0
Austria,AT,2021-12,GISAID,21849,82,0.4,Yes,Other,3,3.7
Austria,AT,2021-13,GISAID,21900,68,0.3,Yes,B.1.1.7,60,88.2
Austria,AT,2021-13,GISAID,21900,68,0.3,Yes,B.1.351,0,0.0
Austria,AT,2021-13,GISAID,21900,68,0.3,Yes,P.1,0,0.0
Austria,AT,2021-13,GISAID,21900,68,0.3,Yes,Other,8,11.8
Austria,AT,2021-14,GISAID,18533,46,0.2,Yes,B.1.1.7,43,93.5
Austria,AT,2021-14,GISAID,18533,46,0.2,Yes,B.1.351,0,0.0
Austria,AT,2021-14,GISAID,18533,46,0.2,Yes,P.1,0,0.0
Austria,AT,2021-14,GISAID,18533,46,0.2,Yes,Other,3,6.5
Austria,AT,2021-15,GISAID,16316,0,0.0,Yes,B.1.1.7,0,
Austria,AT,2021-15,GISAID,16316,0,0.0,Yes,B.1.351,0,
Austria,AT,2021-15,GISAID,16316,0,0.0,Yes,P.1,0,
Austria,AT,2021-15,GISAID,16316,0,0.0,Yes,Other,0,
Austria,AT,2021-16,GISAID,15250,0,0.0,Yes,B.1.1.7,0,
Austria,AT,2021-16,GISAID,15250,0,0.0,Yes,B.1.351,0,
Austria,AT,2021-16,GISAID,15250,0,0.0,Yes,P.1,0,
Austria,AT,2021-16,GISAID,15250,0,0.0,Yes,Other,0,
Belgium,BE,2020-40,GISAID,21351,17,0.1,Yes,B.1.1.7,0,0.0
Belgium,BE,2020-40,GISAID,21351,17,0.1,Yes,B.1.351,0,0.0
Belgium,BE,2020-40,GISAID,21351,17,0.1,Yes,P.1,0,0.0
Belgium,BE,2020-40,GISAID,21351,17,0.1,Yes,Other,17,100.0
Belgium,BE,2020-41,GISAID,43319,109,0.3,Yes,B.1.1.7,0,0.0
Belgium,BE,2020-41,GISAID,43319,109,0.3,Yes,B.1.351,0,0.0
Belgium,BE,2020-41,GISAID,43319,109,0.3,Yes,P.1,0,0.0
Belgium,BE,2020-41,GISAID,43319,109,0.3,Yes,Other,109,100.0
Belgium,BE,2020-42,GISAID,78026,98,0.1,Yes,B.1.1.7,0,0.0
Belgium,BE,2020-42,GISAID,78026,98,0.1,Yes,B.1.351,0,0.0
Belgium,BE,2020-42,GISAID,78026,98,0.1,Yes,P.1,0,0.0
Belgium,BE,2020-42,GISAID,78026,98,0.1,Yes,Other,98,100.0
Belgium,BE,2020-43,GISAID,109639,241,0.2,Yes,B.1.1.7,0,0.0
Belgium,BE,2020-43,GISAID,109639,241,0.2,Yes,B.1.351,0,0.0
Belgium,BE,2020-43,GISAID,109639,241,0.2,Yes,P.1,0,0.0
Belgium,BE,2020-43,GISAID,109639,241,0.2,Yes,Other,241,100.0
Belgium,BE,2020-44,GISAID,93540,145,0.2,Yes,B.1.1.7,0,0.0
